sep=;
"Time";"measurement.Radon";"measurement.Pressure"
"2020-05-18T01:00:00+01:00";387.3777499999993;102.09824999999827
"2020-05-18T01:10:00+01:00";382.9189999999993;102.09962499999828
"2020-05-18T01:20:00+01:00";377.89624999999927;102.10069999999828
"2020-05-18T01:30:00+01:00";370.04324999999926;102.10067499999829
"2020-05-18T01:40:00+01:00";360.43249999999927;102.10059999999828
"2020-05-18T01:50:00+01:00";351.36749999999927;102.10007499999827
"2020-05-18T02:00:00+01:00";343.00099999999924;102.09984999999827
"2020-05-18T02:10:00+01:00";334.43099999999924;102.09834999999828
"2020-05-18T02:20:00+01:00";327.90024999999923;102.08954999999828
"2020-05-18T02:30:00+01:00";323.7927499999993;102.08237499999828
"2020-05-18T02:40:00+01:00";319.69474999999926;102.04347499999828
"2020-05-18T02:50:00+01:00";315.1622499999993;102.03752499999828
"2020-05-18T03:00:00+01:00";310.96224999999924;102.0210999999983
"2020-05-18T03:10:00+01:00";306.9847499999993;102.00759999999829
"2020-05-18T03:20:00+01:00";301.82274999999925;101.9871499999983
"2020-05-18T03:30:00+01:00";297.1052499999993;101.97794999999829
"2020-05-18T03:40:00+01:00";293.5072499999993;101.97712499999828
"2020-05-18T03:50:00+01:00";289.8624999999993;101.97584999999829
"2020-05-18T04:00:00+01:00";285.7827499999993;101.97404999999829
"2020-05-18T04:10:00+01:00";281.5924999999993;101.97287499999828
"2020-05-18T04:20:00+01:00";277.55024999999927;101.97202499999828
"2020-05-18T04:30:00+01:00";271.92599999999925;101.97104999999827
"2020-05-18T04:40:00+01:00";267.05099999999925;101.97044999999828
"2020-05-18T04:50:00+01:00";264.12749999999926;101.97024999999827
"2020-05-18T05:00:00+01:00";262.46199999999925;101.97044999999828
"2020-05-18T05:10:00+01:00";262.2489999999992;101.97092499999829
"2020-05-18T05:20:00+01:00";262.2397499999993;101.97019999999829
"2020-05-18T05:30:00+01:00";262.0732499999993;101.9706249999983
"2020-05-18T05:40:00+01:00";262.1287499999993;101.9712999999983
"2020-05-18T05:50:00+01:00";262.40649999999926;101.97087499999829
"2020-05-18T06:00:00+01:00";263.26699999999926;101.97444999999828
"2020-05-18T06:10:00+01:00";264.65449999999925;101.98039999999828
"2020-05-18T06:20:00+01:00";267.1339999999992;101.98982499999828
"2020-05-18T06:30:00+01:00";270.5754999999992;101.9978499999983
"2020-05-18T06:40:00+01:00";275.2934999999992;102.0172999999983
"2020-05-18T06:50:00+01:00";278.6974999999992;102.0399999999983
"2020-05-18T07:00:00+01:00";281.4724999999992;102.0596249999983
"2020-05-18T07:10:00+01:00";284.6732499999992;102.0877249999983
"2020-05-18T07:20:00+01:00";287.1894999999992;102.11859999999831
"2020-05-18T07:30:00+01:00";289.9184999999992;102.14854999999832
"2020-05-18T07:40:00+01:00";292.8139999999992;102.18184999999832
"2020-05-18T07:50:00+01:00";297.1157499999992;102.21619999999834
"2020-05-18T08:00:00+01:00";302.3629999999992;102.25279999999833
"2020-05-18T08:10:00+01:00";308.0264999999992;102.29234999999834
"2020-05-18T08:20:00+01:00";314.5754999999992;102.33424999999833
"2020-05-18T08:30:00+01:00";323.42724999999916;102.37429999999833
"2020-05-18T08:40:00+01:00";337.2744999999992;102.41429999999835
"2020-05-18T08:50:00+01:00";359.7244999999992;102.45314999999835
"2020-05-18T09:00:00+01:00";391.9332499999992;102.48982499999833
"2020-05-18T09:10:00+01:00";430.45949999999914;102.52692499999834
"2020-05-18T09:20:00+01:00";474.19324999999907;102.56149999999835
"2020-05-18T09:30:00+01:00";521.1092499999991;102.59299999999834
"2020-05-18T09:40:00+01:00";569.9307499999991;102.62499999999834
"2020-05-18T09:50:00+01:00";621.3052499999991;102.64824999999833
"2020-05-18T10:00:00+01:00";670.3302499999991;102.66524999999834
"2020-05-18T10:10:00+01:00";719.6507499999991;102.67624999999832
"2020-05-18T10:20:00+01:00";770.0817499999991;102.69399999999833
"2020-05-18T10:30:00+01:00";817.0902499999991;102.70024999999832
"2020-05-18T10:40:00+01:00";865.313999999999;102.70199999999832
"2020-05-18T10:50:00+01:00";909.7694999999991;102.70524999999832
"2020-05-18T11:00:00+01:00";952.679999999999;102.69899999999832
"2020-05-18T11:10:00+01:00";994.471249999999;102.69399999999833
"2020-05-18T11:20:00+01:00";1036.482749999999;102.68624999999834
"2020-05-18T11:30:00+01:00";1075.552749999999;102.67174999999834
"2020-05-18T11:40:00+01:00";1112.867749999999;102.66174999999835
"2020-05-18T11:50:00+01:00";1149.553999999999;102.65574999999835
"2020-05-18T12:00:00+01:00";1181.808749999999;102.64849999999835
"2020-05-18T12:10:00+01:00";1202.954249999999;102.63774999999835
"2020-05-18T12:20:00+01:00";1208.753999999999;102.62524999999835
"2020-05-18T12:30:00+01:00";1207.2462499999988;102.60674999999836
"2020-05-18T12:40:00+01:00";1201.5577499999988;102.58524999999835
"2020-05-18T12:50:00+01:00";1188.600499999999;102.56799999999835
"2020-05-18T13:00:00+01:00";1169.6974999999989;102.53849999999834
"2020-05-18T13:10:00+01:00";1149.9574999999988;102.53524999999834
"2020-05-18T13:20:00+01:00";1133.2099999999987;102.50454999999833
"2020-05-18T13:30:00+01:00";1122.3324999999988;102.47222499999832
"2020-05-18T13:40:00+01:00";1108.882999999999;102.43599999999833
"2020-05-18T13:50:00+01:00";1098.8559999999989;102.40244999999831
"2020-05-18T14:00:00+01:00";1094.532499999999;102.37037499999832
"2020-05-18T14:10:00+01:00";1091.4429999999988;102.33722499999833
"2020-05-18T14:20:00+01:00";1096.0679999999988;102.31024999999832
"2020-05-18T14:30:00+01:00";1102.144999999999;102.27994999999832
"2020-05-18T14:40:00+01:00";1106.0667499999988;102.24957499999832
"2020-05-18T14:50:00+01:00";1110.673249999999;102.22267499999832
"2020-05-18T15:00:00+01:00";1116.602499999999;102.18872499999831
